capital,"100,000",,,,,,,,
,,,,,,,,,
date,Close,220 SMA,230 SMA,Signal ,Entry/Exit point,Position,Cash,,Buy&Hold
4/20/2016,193.2511,,,0,0,0,0,,526.7141517
4/21/2016,192.2117,,,0,0,0,0,,526.7141517
4/22/2016,192.2117,,,0,0,0,0,,526.7141517
4/25/2016,191.8806,,,0,0,0,0,,526.7141517
4/26/2016,192.165,,,0,0,0,0,,526.7141517
4/27/2016,192.5613,,,0,0,0,0,,526.7141517
4/28/2016,190.8113,,,0,0,0,0,,526.7141517
4/29/2016,189.7842,,,0,0,0,0,,526.7141517
5/2/2016,191.2919,,,0,0,0,0,,526.7141517
5/3/2016,189.6264,,,0,0,0,0,,526.7141517
5/4/2016,188.5693,,,0,0,0,0,,526.7141517
5/5/2016,188.5325,,,0,0,0,0,,526.7141517
5/6/2016,189.2224,,,0,0,0,0,,526.7141517
5/9/2016,189.378,184.1486955,,1,1,0,0,,526.7141517
5/10/2016,191.7334,184.1572277,,1,0,0,0,,526.7141517
5/11/2016,189.9398,184.1573195,,1,0,0,0,,526.7141517
5/12/2016,189.995,184.1758818,,1,0,0,0,,526.7141517
5/13/2016,188.3394,184.1851914,,1,0,0,0,,526.7141517
5/16/2016,190.1974,184.1960368,,1,0,0,0,,526.7141517
5/17/2016,188.4229,184.1998445,,1,0,0,0,,526.7141517
5/18/2016,188.4773,184.2065727,,1,0,0,0,,526.7141517
5/19/2016,187.8243,184.2048218,,1,0,0,0,,526.7141517
5/20/2016,189.0108,184.2227764,,1,0,0,100000,,526.7141517
5/23/2016,188.7533,184.23845,184.371333,0,-1,0,100000,,526.7141517
5/24/2016,191.2,184.2542227,184.3771752,0,0,0,100000,,526.7141517
5/25/2016,192.4969,184.2665136,184.3883809,0,0,0,100000,,526.7141517
5/26/2016,192.5521,184.2751068,184.4172539,0,0,0,100000,,526.7141517
5/27/2016,193.3799,184.2878332,184.4480739,0,0,0,100000,,526.7141517
5/31/2016,193.012,184.2921423,184.4706852,0,0,0,100000,,526.7141517
6/1/2016,193.4075,184.2974264,184.4959996,0,0,0,100000,,526.7141517
6/2/2016,193.9962,184.3047695,184.5264304,0,0,0,100000,,526.7141517
6/3/2016,193.4167,184.3130155,184.5490704,0,0,0,100000,,526.7141517
6/6/2016,194.4009,184.3276682,184.5896796,0,0,0,100000,,526.7141517
6/7/2016,194.7044,184.34843,184.6305461,0,0,0,100000,,526.7141517
6/8/2016,195.3391,184.381125,184.6636291,0,0,0,100000,,526.7141517
6/9/2016,195.0723,184.4175427,184.686583,0,0,0,100000,,526.7141517
6/10/2016,193.2235,184.4349868,184.6977217,0,0,0,100000,,526.7141517
6/13/2016,191.7327,184.43965,184.702733,0,0,0,100000,,526.7141517
6/14/2016,191.3563,184.4423968,184.6996561,0,0,0,100000,,526.7141517
6/15/2016,191.0896,184.4454527,184.6946326,0,0,0,100000,,526.7141517
