Date,Bullish,Neutral,Bearish,Bull 8 wk mov avg,Bull 16 wk mov avg,Bear 8 wk mov avg,Bear 16 wk mov avg,Neutral 8 wk mov avg,Neutral 16 wk mov avg,Bull-Bear Spread,Close,Close in 4 wks,Close in 8 wks
5-5-16,0.22,0.47,0.30,0.29,0.40,0.26,0.31,0.45,0.40,-0.08,2051.12,2099.33,2070.77
5-12-16,0.20,0.48,0.31,0.28,0.41,0.26,0.30,0.46,0.41,-0.11,2064.46,2112.13,2099.73
5-19-16,0.19,0.47,0.34,0.26,0.42,0.28,0.30,0.46,0.42,-0.15,2047.63,2071.50,2152.43
5-26-16,0.18,0.53,0.29,0.25,0.43,0.28,0.29,0.47,0.43,-0.12,2090.54,2085.45,2173.02
6-2-16,0.30,0.41,0.29,0.25,0.44,0.29,0.28,0.46,0.44,0.01,2099.33,2070.77,2166.58
6-9-16,0.28,0.44,0.28,0.25,0.44,0.29,0.28,0.46,0.44,0.00,2112.13,2099.73,2163.79
6-16-16,0.25,0.37,0.38,0.24,0.44,0.31,0.28,0.45,0.44,-0.12,2071.50,2152.43,2175.49
6-23-16,0.22,0.43,0.35,0.23,0.44,0.32,0.28,0.45,0.44,-0.13,2085.45,2173.02,2182.22
6-30-16,0.29,0.38,0.33,0.24,0.44,0.32,0.29,0.44,0.44,-0.05,2070.77,2166.58,2175.44
7-7-16,0.31,0.42,0.27,0.25,0.44,0.32,0.29,0.43,0.44,0.04,2099.73,2163.79,2170.86
7-14-16,0.37,0.39,0.24,0.27,0.44,0.30,0.29,0.42,0.44,0.12,2152.43,2175.49,2186.16
7-21-16,0.35,0.38,0.27,0.30,0.44,0.30,0.29,0.40,0.44,0.09,2173.02,2182.22,2125.77
7-28-16,0.31,0.40,0.28,0.30,0.43,0.30,0.29,0.40,0.43,0.03,2166.58,2175.44,2163.12
8-4-16,0.30,0.43,0.27,0.30,0.43,0.30,0.30,0.40,0.43,0.03,2163.79,2170.86,2171.37
8-11-16,0.31,0.42,0.27,0.31,0.43,0.29,0.30,0.41,0.43,0.05,2175.49,2186.16,2159.73
8-18-16,0.36,0.38,0.26,0.33,0.43,0.27,0.30,0.40,0.43,0.09,2182.22,2125.77,2139.18
8-25-16,0.29,0.41,0.30,0.33,0.42,0.27,0.30,0.40,0.42,0.00,2175.44,2163.12,2144.29
9-1-16,0.29,0.40,0.32,0.32,0.42,0.28,0.30,0.40,0.42,-0.03,2170.86,2171.37,2139.43
9-8-16,0.30,0.42,0.28,0.31,0.41,0.28,0.29,0.41,0.41,0.01,2186.16,2159.73,2097.94
9-15-16,0.28,0.36,0.36,0.30,0.40,0.29,0.30,0.40,0.40,-0.08,2125.77,2139.18,2163.26
9-22-16,0.25,0.37,0.38,0.30,0.40,0.30,0.30,0.40,0.40,-0.13,2163.12,2144.29,2164.20
9-29-16,0.24,0.39,0.37,0.29,0.40,0.32,0.31,0.39,0.40,-0.13,2171.37,2139.43,2204.72
10-6-16,0.29,0.43,0.28,0.29,0.40,0.32,0.30,0.39,0.40,0.01,2159.73,2097.94,2198.81
10-13-16,0.25,0.41,0.34,0.27,0.40,0.33,0.30,0.40,0.40,-0.08,2139.18,2163.26,2241.35
10-20-16,0.24,0.38,0.38,0.27,0.40,0.34,0.30,0.40,0.40,-0.14,2144.29,2164.20,2253.28
10-27-16,0.25,0.41,0.34,0.26,0.40,0.34,0.31,0.40,0.40,-0.09,2139.43,2204.72,2258.66
11-3-16,0.24,0.42,0.34,0.25,0.40,0.35,0.31,0.40,0.40,-0.11,2097.94,2198.81,2249.92
11-10-16,0.39,0.32,0.29,0.27,0.40,0.34,0.32,0.39,0.40,0.10,2163.26,2241.35,2270.75
11-17-16,0.47,0.27,0.27,0.29,0.39,0.33,0.32,0.38,0.39,0.20,2164.20,2253.28,2275.32
11-24-16,0.50,0.28,0.22,0.33,0.38,0.31,0.31,0.37,0.38,0.28,2204.72,2258.66,2271.89
12-1-16,0.44,0.31,0.25,0.35,0.37,0.30,0.31,0.35,0.37,0.19,2198.81,2249.92,2298.37
12-8-16,0.43,0.30,0.26,0.37,0.37,0.29,0.31,0.34,0.37,0.17,2241.35,2270.75,2279.55
12-15-16,0.45,0.23,0.32,0.39,0.36,0.29,0.31,0.32,0.36,0.12,2253.28,2275.32,2294.67
12-22-16,0.45,0.26,0.29,0.42,0.35,0.28,0.31,0.30,0.35,0.15,2258.66,2271.89,2347.22
12-29-16,0.46,0.29,0.26,0.45,0.34,0.27,0.31,0.28,0.34,0.20,2249.92,2298.37,2362.82
1-5-17,0.46,0.29,0.25,0.46,0.34,0.27,0.30,0.28,0.34,0.21,2270.75,2279.55,2395.96
1-12-17,0.44,0.29,0.27,0.45,0.33,0.27,0.30,0.28,0.33,0.17,2275.32,2294.67,2362.98
1-19-17,0.37,0.30,0.33,0.44,0.33,0.28,0.29,0.28,0.33,0.04,2271.89,2347.22,2385.26
1-26-17,0.32,0.35,0.33,0.42,0.32,0.29,0.30,0.29,0.32,-0.02,2298.37,2362.82,2348.45
2-2-17,0.33,0.33,0.34,0.41,0.31,0.30,0.30,0.29,0.31,-0.01,2279.55,2395.96,2361.13
