Date,Monthly Close
03/01/93,451.67
04/01/93,440.19
05/03/93,450.19
06/01/93,450.53
07/01/93,448.13
08/02/93,463.56
09/01/93,458.93
10/01/93,467.83
11/01/93,461.79
12/01/93,466.45
01/03/94,481.61
02/01/94,467.14
03/01/94,445.77
04/04/94,450.91
05/02/94,456.50
06/01/94,444.27
07/01/94,458.26
08/01/94,475.49
09/01/94,462.71
10/03/94,472.35
11/01/94,453.69
12/01/94,459.27
01/03/95,470.42
02/01/95,487.39
03/01/95,500.71
04/03/95,514.71
05/01/95,533.40
06/01/95,544.75
07/03/95,562.06
08/01/95,561.88
09/01/95,584.41
10/02/95,581.50
11/01/95,605.37
12/01/95,615.93
01/02/96,636.02
02/01/96,640.43
03/01/96,645.50
04/01/96,654.17
05/01/96,669.12
06/03/96,670.63
07/01/96,639.95
08/01/96,651.99
09/03/96,687.33
10/01/96,705.27
11/01/96,757.02
12/02/96,740.74
01/02/97,786.16
02/03/97,790.82
03/03/97,757.12
04/01/97,801.34
05/01/97,848.28
06/02/97,885.14
07/01/97,954.31
08/01/97,899.47
09/02/97,947.28
10/01/97,914.62
11/03/97,955.40
12/01/97,970.43
01/02/98,980.28
02/02/98,1049.34
03/02/98,1101.75
04/01/98,1111.75
05/01/98,1090.82
06/01/98,1133.84
07/01/98,1120.67
08/03/98,957.28
09/01/98,1017.01
10/01/98,1098.67
11/02/98,1163.63
12/01/98,1229.23
01/04/99,1279.64
02/01/99,1238.33
03/01/99,1286.37
04/01/99,1335.18
05/03/99,1301.84
06/01/99,1372.71
07/01/99,1328.72
08/02/99,1320.41
09/01/99,1282.71
10/01/99,1362.93
11/01/99,1388.91
12/01/99,1469.25
01/03/00,1394.46
02/01/00,1366.42
03/01/00,1498.58
04/03/00,1452.43
05/01/00,1420.60
06/01/00,1454.60
07/03/00,1430.83
08/01/00,1517.68
09/01/00,1436.51
10/02/00,1429.40
11/01/00,1314.95
12/01/00,1320.28
01/02/01,1366.01
02/01/01,1239.94
03/01/01,1160.33
04/02/01,1249.46
05/01/01,1255.82
06/01/01,1224.38
07/02/01,1211.23
08/01/01,1133.58
09/04/01,1040.94
10/01/01,1059.78
11/01/01,1139.45
12/03/01,1148.08
01/02/02,1130.20
02/01/02,1106.73
03/01/02,1147.39
04/01/02,1076.92
05/01/02,1067.14
06/03/02,989.82
07/01/02,911.62
08/01/02,916.07
09/03/02,815.28
10/01/02,885.76
11/01/02,936.31
12/02/02,879.82
01/02/03,855.70
02/03/03,841.15
03/03/03,848.18
04/01/03,916.92
05/01/03,963.59
06/02/03,974.50
