Date,Bull-Bear Spread,Close,SMA Signal,SMA1,SMA40,Sell Signals,Buy/Sell SMA,Buy Signals
12/22/2011,0.05,1243.72,0,1243.72,1261.23725,0,0,0
12/29/2011,0.1,1249.64,0,1249.64,1260.01875,0,0,0
1/5/2012,0.32,1277.3,0,1277.3,1258.74475,0,0,0
1/12/2012,0.32,1295.5,0,1295.5,1257.74375,0,0,0
1/19/2012,0.24,1308.04,0,1308.04,1257.5845,0,0,0
1/26/2012,0.29,1326.06,0,1326.06,1257.477,0,0,0
2/2/2012,0.19,1324.09,0,1324.09,1256.89825,0,0,0
2/9/2012,0.31,1349.96,0,1349.96,1256.557,0,0,0
2/16/2012,0.16,1343.23,0,1343.23,1256.20875,0,0,0
2/23/2012,0.16,1357.66,0,1357.66,1256.434,0,0,0
3/1/2012,0.18,1365.68,0,1365.68,1256.986,0,0,0
3/8/2012,0.13,1352.63,0,1352.63,1257.938,0,0,0
3/15/2012,0.18,1394.28,0,1394.28,1260.291,0,0,0
3/22/2012,0.15,1402.89,0,1402.89,1263.13825,0,0,0
3/29/2012,0.17,1405.54,0,1405.54,1265.88875,0,0,0
4/5/2012,0.1,1398.96,0,1398.96,1268.1775,0,0,0
4/12/2012,-0.13,1368.71,0,1368.71,1268.9035,0,0,0
4/19/2012,-0.03,1385.14,0,1385.14,1270.589,0,0,0
4/26/2012,-0.1,1390.69,0,1390.69,1272.21025,0,0,0
5/3/2012,0.07,1402.31,0,1402.31,1274.64575,0,0,0
5/10/2012,-0.17,1354.58,0,1354.58,1277.00175,0,0,0
5/17/2012,-0.22,1324.8,0,1324.8,1282.10275,0,0,0
5/24/2012,-0.08,1318.86,0,1318.86,1285.22725,0,0,0
5/31/2012,-0.14,1313.32,0,1313.32,1289.0785,0,0,0
6/7/2012,-0.18,1315.13,0,1315.13,1291.4845,0,0,0
6/14/2012,-0.02,1314.88,0,1314.88,1294.391,0,0,0
6/21/2012,-0.03,1355.69,0,1355.69,1298.56625,0,0,0
6/28/2012,-0.16,1331.85,0,1331.85,1302.6935,0,0,0
7/5/2012,-0.01,1374.02,0,1374.02,1308.2675,0,0,0
7/12/2012,-0.05,1341.45,0,1341.45,1313.20275,0,0,0
7/19/2012,-0.2,1372.78,0,1372.78,1317.341,0,0,0
7/26/2012,-0.15,1337.89,0,1337.89,1320.54125,0,0,0
8/2/2012,-0.04,1375.14,0,1375.14,1323.86975,0,0,0
8/9/2012,0.09,1402.22,0,1402.22,1327.97775,0,0,0
8/16/2012,0.09,1405.53,0,1405.53,1332.3885,0,0,0
8/23/2012,0.16,1413.49,0,1413.49,1336.803,0,0,0
8/30/2012,0.02,1410.49,0,1410.49,1343.0985,0,0,0
9/6/2012,0,1403.44,0,1403.44,1347.0105,0,0,0
9/13/2012,0.03,1436.56,0,1436.56,1351.39925,0,0,0
9/20/2012,0.04,1461.05,0,1461.05,1357.63,0,0,0
9/27/2012,0,1433.32,0,1433.32,1362.37,0,0,0
10/4/2012,0.01,1450.99,0,1450.99,1367.40375,0,0,0
10/11/2012,-0.08,1432.56,0,1432.56,1371.28525,0,0,0
10/18/2012,-0.16,1460.91,0,1460.91,1375.4205,0,0,0
10/25/2012,-0.14,1408.75,0,1408.75,1377.93825,0,0,0
11/1/2012,-0.05,1412.16,0,1412.16,1380.09075,0,0,0
11/8/2012,-0.01,1394.53,0,1394.53,1381.85175,0,0,0
11/15/2012,-0.2,1355.49,0,1355.49,1381.99,0,0,0
11/22/2012,-0.05,1391.03,0,1391.03,1383.185,0,0,0
11/28/2012,0.07,1409.93,0,1409.93,1384.49175,0,0,0
12/6/2012,0.08,1409.28,0,1409.28,1385.58175,0,0,0
12/13/2012,0.13,1428.48,0,1428.48,1387.478,0,0,0
12/20/2012,0.22,1435.81,0,1435.81,1388.51625,0,0,0
12/27/2012,0.14,1419.83,0,1419.83,1388.93975,0,0,0
1/3/2013,0.03,1462.42,0,1462.42,1390.36175,0,0,0
1/10/2013,0.2,1461.02,0,1461.02,1391.91325,0,0,0
1/17/2013,0.17,1472.63,0,1472.63,1394.51125,0,0,0
1/24/2013,0.28,1494.81,0,1494.81,1397.253,0,0,0
1/31/2013,0.24,1501.96,0,1501.96,1400.03475,0,0,0
2/7/2013,0.13,1512.12,0,1512.12,1402.78,0,0,0
2/14/2013,0.14,1520.33,0,1520.33,1406.92375,0,0,0
2/21/2013,0.09,1511.95,0,1511.95,1411.6025,0,0,0
2/28/2013,-0.08,1515.99,0,1515.99,1416.53075,0,0,0
3/7/2013,-0.07,1541.46,0,1541.46,1422.23425,0,0,0
3/14/2013,0.13,1554.52,0,1554.52,1428.219,0,0,0
3/21/2013,0.06,1558.71,0,1558.71,1434.31475,0,0,0
3/28/2013,0.1,1562.85,0,1562.85,1439.49375,0,0,0
4/4/2013,0.07,1553.69,0,1553.69,1445.03975,0,0,0
4/11/2013,-0.35,1587.73,0,1587.73,1450.3825,0,1,1
4/18/2013,-0.21,1552.01,0,1552.01,1455.6465,0,0,0
4/25/2013,-0.11,1578.79,0,1578.79,1460.79675,0,0,0
5/2/2013,-0.05,1582.7,0,1582.7,1466.917,0,0,0
5/9/2013,0.13,1632.69,0,1632.69,1473.35575,0,0,0
5/16/2013,0.09,1658.78,0,1658.78,1479.76975,0,0,0
5/23/2013,0.27,1655.35,0,1655.35,1486.01525,0,0,0
5/30/2013,0.06,1648.36,0,1648.36,1491.887,0,0,0
6/6/2013,-0.09,1608.9,0,1608.9,1496.84725,0,0,0
6/13/2013,-0.02,1612.52,0,1612.52,1502.07425,0,0,0
6/20/2013,0.07,1628.93,0,1628.93,1506.8835,0,0,0
6/27/2013,-0.05,1603.26,0,1603.26,1510.43875,0,0,0
7/4/2013,0.18,1631.89,0,1631.89,1515.403,0,0,0
7/11/2013,0.31,1652.62,0,1652.62,1520.44375,0,0,0
7/18/2013,0.26,1680.91,0,1680.91,1526.6525,0,0,0
7/25/2013,0.23,1685.94,0,1685.94,1532.27825,0,0,0
8/1/2013,0.11,1685.73,0,1685.73,1539.20275,0,0,0
8/8/2013,0.13,1690.91,0,1690.91,1546.1715,0,0,0
8/15/2013,0.06,1685.39,0,1685.39,1553.443,0,0,0
8/22/2013,-0.14,1642.8,0,1642.8,1560.62575,0,0,0
8/29/2013,0.03,1634.96,0,1634.96,1566.724,0,0,0
9/5/2013,0.04,1653.08,0,1653.08,1572.80275,0,0,0
9/12/2013,0.21,1689.13,0,1689.13,1579.799,0,0,0
9/19/2013,0.15,1725.52,0,1725.52,1587.225,0,0,0
9/26/2013,0.05,1692.77,0,1692.77,1593.649,0,0,0
10/3/2013,0.08,1693.87,0,1693.87,1600.5,0,0,0
10/10/2013,0.08,1656.4,0,1656.4,1605.3495,0,0,0
10/17/2013,0.21,1721.54,0,1721.54,1611.8625,0,0,0
10/24/2013,0.32,1746.38,0,1746.38,1618.70625,0,0,0
10/31/2013,0.23,1763.31,0,1763.31,1625.41875,0,0,0
11/7/2013,0.24,1770.49,0,1770.49,1632.132,0,0,0
11/14/2013,0.12,1782,0,1782,1638.879,0,0,0
11/21/2013,0.05,1781.37,0,1781.37,1645.405,0,0,0
11/28/2013,0.19,1807.23,0,1807.23,1652.787,0,0,0
12/5/2013,0.15,1792.81,0,1792.81,1659.7075,0,0,0
12/12/2013,0.16,1782.22,0,1782.22,1665.7265,0,0,0
12/19/2013,0.22,1810.65,0,1810.65,1672.12975,0,0,0
12/26/2013,0.37,1833.32,0,1833.32,1678.995,0,0,0
1/2/2014,0.14,1848.36,0,1848.36,1686.13275,0,0,0
1/9/2014,0.19,1837.49,0,1837.49,1693.22775,0,0,0
1/16/2014,0.18,1848.38,0,1848.38,1699.744,0,0,0
1/23/2014,0.14,1844.86,0,1844.86,1707.06525,0,0,0
1/30/2014,-0.01,1844.86,0,1844.86,1713.717,0,0,0
2/6/2014,-0.09,1751.64,0,1751.64,1717.9405,0,0,0
2/13/2014,0.13,1819.26,0,1819.26,1722.60475,0,0,0
2/20/2014,0.19,1828.75,0,1828.75,1726.854,0,0,0
